split,adapter_control,decoder_type,n,correct,accuracy,mean_latency_seconds,mean_peak_memory_bytes
test,correct,constrained,64,22,0.34375,0.6067686599817534,1010556416.0
test,correct,free,64,11,0.171875,0.4315070245938841,1010406960.0
test,correct,score,64,22,0.34375,0.07812364048731979,4187522864.0
test,none,constrained,64,24,0.375,0.6115092306172301,1010558744.0
test,none,free,64,16,0.25,0.6642936637581442,1010612272.0
test,none,score,64,24,0.375,0.08038177429989446,4187522864.0
test,wrong_depth,constrained,64,24,0.375,0.6154054946782708,1010557008.0
test,wrong_depth,free,64,4,0.0625,0.9278192731071613,1010829800.0
test,wrong_depth,score,64,23,0.359375,0.08302638586974354,4187522864.0
validation,correct,constrained,32,14,0.4375,0.5850678840579349,1010643952.0
validation,correct,free,32,4,0.125,0.4957465902698459,1010548912.0
validation,correct,score,32,12,0.375,0.11568135159905069,4232823632.0
validation,none,constrained,32,17,0.53125,0.5903170387027785,1010641744.0
validation,none,free,32,8,0.25,0.6686003302093013,1010710208.0
validation,none,score,32,17,0.53125,0.07776554987503914,4232791648.0
validation,wrong_depth,constrained,32,16,0.5,0.5916607543185819,1010644048.0
validation,wrong_depth,free,32,2,0.0625,0.9634638931893278,1010955216.0
validation,wrong_depth,score,32,15,0.46875,0.08107578368799295,4232791648.0
