left,right,question_count,left_accuracy,right_accuracy,delta_right_minus_left,mcnemar_p_value,discordant,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_seed
test.none.constrained,test.correct.constrained,64,0.375,0.34375,-0.03125,0.625,4,-0.09375,0.03125,2026
test.none.free,test.correct.free,64,0.25,0.171875,-0.078125,0.3017578125,15,-0.203125,0.046875,2026
test.none.score,test.correct.score,64,0.375,0.34375,-0.03125,0.6875,6,-0.109375,0.046875,2026
test.correct.free,test.correct.score,64,0.171875,0.34375,0.171875,0.00341796875,13,0.078125,0.28125,2026
test.none.free,test.none.score,64,0.25,0.375,0.125,0.057373046875,14,0.015625,0.234375,2026
test.wrong_depth.free,test.wrong_depth.score,64,0.0625,0.359375,0.296875,3.814697265625e-06,19,0.1875,0.40625,2026
validation.none.constrained,validation.correct.constrained,32,0.53125,0.4375,-0.09375,0.25,3,-0.21875,0.0,2026
validation.none.free,validation.correct.free,32,0.25,0.125,-0.125,0.2890625,8,-0.3125,0.03125,2026
validation.none.score,validation.correct.score,32,0.53125,0.375,-0.15625,0.0625,5,-0.28125,-0.03125,2026
validation.correct.free,validation.correct.score,32,0.125,0.375,0.25,0.021484375,10,0.09375,0.4375,2026
validation.none.free,validation.none.score,32,0.25,0.53125,0.28125,0.00390625,9,0.125,0.4375,2026
validation.wrong_depth.free,validation.wrong_depth.score,32,0.0625,0.46875,0.40625,0.000244140625,13,0.25,0.5625,2026
