bucket,count,accuracy
hop=1|k=1|adapter=correct,20,0.1
hop=1|k=1|adapter=none,20,0.2
hop=1|k=2|adapter=correct,20,0.0
hop=1|k=2|adapter=none,20,0.0
hop=2|k=1|adapter=correct,20,0.3
hop=2|k=1|adapter=none,20,0.5
hop=2|k=2|adapter=correct,20,0.1
hop=2|k=2|adapter=none,20,0.0
hop=3|k=1|adapter=correct,84,0.07142857142857142
hop=3|k=1|adapter=none,84,0.19047619047619047
hop=3|k=2|adapter=correct,84,0.011904761904761904
hop=3|k=2|adapter=none,84,0.0
hop=4|k=1|adapter=correct,22,0.09090909090909091
hop=4|k=1|adapter=none,22,0.18181818181818182
hop=4|k=2|adapter=correct,22,0.09090909090909091
hop=4|k=2|adapter=none,22,0.09090909090909091
hop=5|k=1|adapter=correct,16,0.1875
hop=5|k=1|adapter=none,16,0.375
hop=5|k=2|adapter=correct,16,0.125
hop=5|k=2|adapter=none,16,0.0
hop=6|k=1|adapter=correct,4,0.0
hop=6|k=1|adapter=none,4,0.0
hop=6|k=2|adapter=correct,4,0.0
hop=6|k=2|adapter=none,4,0.0
hop=7|k=1|adapter=correct,4,0.25
hop=7|k=1|adapter=none,4,0.5
hop=7|k=2|adapter=correct,4,0.0
hop=7|k=2|adapter=none,4,0.0
hop=9|k=1|adapter=correct,2,0.0
hop=9|k=1|adapter=none,2,0.0
hop=9|k=2|adapter=correct,2,0.0
hop=9|k=2|adapter=none,2,0.0
hop=10|k=1|adapter=correct,2,0.0
hop=10|k=1|adapter=none,2,1.0
hop=10|k=2|adapter=correct,2,0.0
hop=10|k=2|adapter=none,2,0.0
