split,condition,depth_mode,depth_bucket,n,correct,accuracy
test,adapter=correct;train_k=1;eval_k=1,undirected,1,7,2,0.2857142857142857
test,adapter=correct;train_k=1;eval_k=1,undirected,2,6,2,0.3333333333333333
test,adapter=correct;train_k=1;eval_k=1,undirected,3,24,3,0.125
test,adapter=correct;train_k=1;eval_k=1,undirected,4,8,1,0.125
test,adapter=correct;train_k=1;eval_k=1,undirected,>4_or_unreachable,19,3,0.15789473684210525
test,adapter=correct;train_k=1;eval_k=2,undirected,1,7,0,0.0
test,adapter=correct;train_k=1;eval_k=2,undirected,2,6,0,0.0
test,adapter=correct;train_k=1;eval_k=2,undirected,3,24,0,0.0
test,adapter=correct;train_k=1;eval_k=2,undirected,4,8,1,0.125
test,adapter=correct;train_k=1;eval_k=2,undirected,>4_or_unreachable,19,1,0.05263157894736842
test,adapter=correct;train_k=2;eval_k=1,undirected,1,7,0,0.0
test,adapter=correct;train_k=2;eval_k=1,undirected,2,6,1,0.16666666666666666
test,adapter=correct;train_k=2;eval_k=1,undirected,3,24,1,0.041666666666666664
test,adapter=correct;train_k=2;eval_k=1,undirected,4,8,0,0.0
test,adapter=correct;train_k=2;eval_k=1,undirected,>4_or_unreachable,19,2,0.10526315789473684
test,adapter=correct;train_k=2;eval_k=2,undirected,1,7,0,0.0
test,adapter=correct;train_k=2;eval_k=2,undirected,2,6,1,0.16666666666666666
test,adapter=correct;train_k=2;eval_k=2,undirected,3,24,0,0.0
test,adapter=correct;train_k=2;eval_k=2,undirected,4,8,1,0.125
test,adapter=correct;train_k=2;eval_k=2,undirected,>4_or_unreachable,19,1,0.05263157894736842
test,adapter=none;train_k=1;eval_k=1,undirected,1,7,1,0.14285714285714285
test,adapter=none;train_k=1;eval_k=1,undirected,2,6,3,0.5
test,adapter=none;train_k=1;eval_k=1,undirected,3,24,4,0.16666666666666666
test,adapter=none;train_k=1;eval_k=1,undirected,4,8,2,0.25
test,adapter=none;train_k=1;eval_k=1,undirected,>4_or_unreachable,19,6,0.3157894736842105
test,adapter=none;train_k=1;eval_k=2,undirected,1,7,0,0.0
test,adapter=none;train_k=1;eval_k=2,undirected,2,6,0,0.0
test,adapter=none;train_k=1;eval_k=2,undirected,3,24,0,0.0
test,adapter=none;train_k=1;eval_k=2,undirected,4,8,0,0.0
test,adapter=none;train_k=1;eval_k=2,undirected,>4_or_unreachable,19,0,0.0
test,adapter=none;train_k=2;eval_k=1,undirected,1,7,1,0.14285714285714285
test,adapter=none;train_k=2;eval_k=1,undirected,2,6,3,0.5
test,adapter=none;train_k=2;eval_k=1,undirected,3,24,4,0.16666666666666666
test,adapter=none;train_k=2;eval_k=1,undirected,4,8,2,0.25
test,adapter=none;train_k=2;eval_k=1,undirected,>4_or_unreachable,19,6,0.3157894736842105
test,adapter=none;train_k=2;eval_k=2,undirected,1,7,0,0.0
test,adapter=none;train_k=2;eval_k=2,undirected,2,6,0,0.0
test,adapter=none;train_k=2;eval_k=2,undirected,3,24,0,0.0
test,adapter=none;train_k=2;eval_k=2,undirected,4,8,0,0.0
test,adapter=none;train_k=2;eval_k=2,undirected,>4_or_unreachable,19,0,0.0
validation,adapter=correct;train_k=1;eval_k=1,undirected,1,3,0,0.0
validation,adapter=correct;train_k=1;eval_k=1,undirected,2,4,1,0.25
validation,adapter=correct;train_k=1;eval_k=1,undirected,3,18,2,0.1111111111111111
validation,adapter=correct;train_k=1;eval_k=1,undirected,4,3,1,0.3333333333333333
validation,adapter=correct;train_k=1;eval_k=1,undirected,>4_or_unreachable,4,0,0.0
validation,adapter=correct;train_k=1;eval_k=2,undirected,1,3,0,0.0
validation,adapter=correct;train_k=1;eval_k=2,undirected,2,4,0,0.0
validation,adapter=correct;train_k=1;eval_k=2,undirected,3,18,0,0.0
validation,adapter=correct;train_k=1;eval_k=2,undirected,4,3,0,0.0
validation,adapter=correct;train_k=1;eval_k=2,undirected,>4_or_unreachable,4,0,0.0
validation,adapter=correct;train_k=2;eval_k=1,undirected,1,3,0,0.0
validation,adapter=correct;train_k=2;eval_k=1,undirected,2,4,2,0.5
validation,adapter=correct;train_k=2;eval_k=1,undirected,3,18,0,0.0
validation,adapter=correct;train_k=2;eval_k=1,undirected,4,3,0,0.0
validation,adapter=correct;train_k=2;eval_k=1,undirected,>4_or_unreachable,4,0,0.0
validation,adapter=correct;train_k=2;eval_k=2,undirected,1,3,0,0.0
validation,adapter=correct;train_k=2;eval_k=2,undirected,2,4,1,0.25
validation,adapter=correct;train_k=2;eval_k=2,undirected,3,18,1,0.05555555555555555
validation,adapter=correct;train_k=2;eval_k=2,undirected,4,3,0,0.0
validation,adapter=correct;train_k=2;eval_k=2,undirected,>4_or_unreachable,4,0,0.0
validation,adapter=none;train_k=1;eval_k=1,undirected,1,3,1,0.3333333333333333
validation,adapter=none;train_k=1;eval_k=1,undirected,2,4,2,0.5
validation,adapter=none;train_k=1;eval_k=1,undirected,3,18,4,0.2222222222222222
validation,adapter=none;train_k=1;eval_k=1,undirected,4,3,0,0.0
validation,adapter=none;train_k=1;eval_k=1,undirected,>4_or_unreachable,4,1,0.25
validation,adapter=none;train_k=1;eval_k=2,undirected,1,3,0,0.0
validation,adapter=none;train_k=1;eval_k=2,undirected,2,4,0,0.0
validation,adapter=none;train_k=1;eval_k=2,undirected,3,18,0,0.0
validation,adapter=none;train_k=1;eval_k=2,undirected,4,3,1,0.3333333333333333
validation,adapter=none;train_k=1;eval_k=2,undirected,>4_or_unreachable,4,0,0.0
validation,adapter=none;train_k=2;eval_k=1,undirected,1,3,1,0.3333333333333333
validation,adapter=none;train_k=2;eval_k=1,undirected,2,4,2,0.5
validation,adapter=none;train_k=2;eval_k=1,undirected,3,18,4,0.2222222222222222
validation,adapter=none;train_k=2;eval_k=1,undirected,4,3,0,0.0
validation,adapter=none;train_k=2;eval_k=1,undirected,>4_or_unreachable,4,1,0.25
validation,adapter=none;train_k=2;eval_k=2,undirected,1,3,0,0.0
validation,adapter=none;train_k=2;eval_k=2,undirected,2,4,0,0.0
validation,adapter=none;train_k=2;eval_k=2,undirected,3,18,0,0.0
validation,adapter=none;train_k=2;eval_k=2,undirected,4,3,1,0.3333333333333333
validation,adapter=none;train_k=2;eval_k=2,undirected,>4_or_unreachable,4,0,0.0
