split,mode,depth_bucket,count,fraction
test,directed,self_loop,2,0.0004045307443365696
test,directed,1,242,0.04894822006472492
test,directed,2,307,0.06209546925566343
test,directed,3,512,0.10355987055016182
test,directed,>4_or_unreachable,3318,0.6711165048543689
test,directed,4,563,0.11387540453074434
test,undirected,self_loop,2,0.0004045307443365696
test,undirected,1,614,0.12419093851132686
test,undirected,2,670,0.13551779935275082
test,undirected,3,2260,0.4571197411003236
test,undirected,>4_or_unreachable,971,0.19639967637540454
test,undirected,4,427,0.0863673139158576
train,directed,self_loop,11,0.0004522840343735866
train,directed,1,570,0.023436536326631306
train,directed,2,682,0.02804161013116237
train,directed,3,1082,0.044488302290201884
train,directed,4,1285,0.052834998560914434
train,directed,>4_or_unreachable,20691,0.8507462686567164
train,undirected,self_loop,11,0.0004522840343735866
train,undirected,1,1391,0.057193371983059904
train,undirected,2,1470,0.06044159368447021
train,undirected,3,4941,0.20315776489453558
train,undirected,>4_or_unreachable,15499,0.6372682044323835
train,undirected,4,1009,0.041486780971177174
valid,directed,self_loop,4,0.0008079175924055746
valid,directed,1,245,0.04948495253484145
valid,directed,2,295,0.059583922439911126
valid,directed,3,516,0.10422136942031912
valid,directed,>4_or_unreachable,3316,0.6697636841042214
valid,directed,4,575,0.11613815390830136
valid,undirected,self_loop,4,0.0008079175924055746
valid,undirected,1,645,0.1302767117753989
valid,undirected,2,661,0.1335083821450212
valid,undirected,3,2262,0.45687739850535247
valid,undirected,>4_or_unreachable,969,0.19571803676025046
valid,undirected,4,410,0.0828115532215714
