split,frequency_tier,depth_mode,depth_bucket,count,fraction_within_tier,tail_max_frequency,mid_max_frequency
test,head,undirected,1,422,0.12730015082956259,58,152
test,head,undirected,2,474,0.1429864253393665,58,152
test,head,undirected,3,1679,0.5064856711915535,58,152
test,head,undirected,4,233,0.07028657616892911,58,152
test,head,undirected,>4_or_unreachable,505,0.15233785822021115,58,152
test,head,undirected,self_loop,2,0.0006033182503770739,58,152
test,mid,undirected,1,124,0.12424849699398798,58,152
test,mid,undirected,2,122,0.12224448897795591,58,152
test,mid,undirected,3,372,0.3727454909819639,58,152
test,mid,undirected,4,111,0.11122244488977956,58,152
test,mid,undirected,>4_or_unreachable,269,0.2695390781563126,58,152
test,tail,undirected,1,68,0.10776545166402536,58,152
test,tail,undirected,2,74,0.11727416798732171,58,152
test,tail,undirected,3,209,0.3312202852614897,58,152
test,tail,undirected,4,83,0.13153724247226625,58,152
test,tail,undirected,>4_or_unreachable,197,0.312202852614897,58,152
train,head,undirected,1,934,0.060637538141920404,58,152
train,head,undirected,2,1056,0.06855807310264234,58,152
train,head,undirected,3,3729,0.24209569564370578,58,152
train,head,undirected,4,604,0.03921314029734467,58,152
train,head,undirected,>4_or_unreachable,9069,0.5887814062195676,58,152
train,head,undirected,self_loop,11,0.0007141465948191911,58,152
train,mid,undirected,1,317,0.05428082191780822,58,152
train,mid,undirected,2,247,0.042294520547945205,58,152
train,mid,undirected,3,826,0.14143835616438355,58,152
train,mid,undirected,4,237,0.04058219178082192,58,152
train,mid,undirected,>4_or_unreachable,4213,0.7214041095890411,58,152
train,tail,undirected,1,140,0.04548408057179987,58,152
train,tail,undirected,2,167,0.05425601039636127,58,152
train,tail,undirected,3,386,0.1254061078622482,58,152
train,tail,undirected,4,168,0.05458089668615984,58,152
train,tail,undirected,>4_or_unreachable,2217,0.7202729044834308,58,152
valid,head,undirected,1,449,0.13113317757009346,58,152
valid,head,undirected,2,469,0.13697429906542055,58,152
valid,head,undirected,3,1734,0.5064252336448598,58,152
valid,head,undirected,4,244,0.07126168224299065,58,152
valid,head,undirected,>4_or_unreachable,524,0.1530373831775701,58,152
valid,head,undirected,self_loop,4,0.0011682242990654205,58,152
valid,mid,undirected,1,128,0.1391304347826087,58,152
valid,mid,undirected,2,116,0.12608695652173912,58,152
valid,mid,undirected,3,336,0.3652173913043478,58,152
valid,mid,undirected,4,102,0.1108695652173913,58,152
valid,mid,undirected,>4_or_unreachable,238,0.25869565217391305,58,152
valid,tail,undirected,1,68,0.11202635914332784,58,152
valid,tail,undirected,2,76,0.12520593080724876,58,152
valid,tail,undirected,3,192,0.3163097199341021,58,152
valid,tail,undirected,4,64,0.10543657331136738,58,152
valid,tail,undirected,>4_or_unreachable,207,0.34102141680395387,58,152
