split,relation,depth_mode,depth_bucket,count,fraction_within_relation,relation_train_frequency
test,concept:academicfieldconcernssubject,undirected,>4_or_unreachable,2,1.0,30
test,concept:academicfieldsuchasacademicfield,undirected,1,1,0.06666666666666667,101
test,concept:academicfieldsuchasacademicfield,undirected,2,7,0.4666666666666667,101
test,concept:academicfieldsuchasacademicfield,undirected,3,5,0.3333333333333333,101
test,concept:academicfieldsuchasacademicfield,undirected,4,2,0.13333333333333333,101
test,concept:academicprogramatuniversity,undirected,2,6,0.24,225
test,concept:academicprogramatuniversity,undirected,3,13,0.52,225
test,concept:academicprogramatuniversity,undirected,4,5,0.2,225
test,concept:academicprogramatuniversity,undirected,>4_or_unreachable,1,0.04,225
test,concept:acquired,undirected,4,1,0.2,62
test,concept:acquired,undirected,>4_or_unreachable,4,0.8,62
test,concept:actorstarredinmovie,undirected,>4_or_unreachable,1,1.0,74
test,concept:agentactsinlocation,undirected,1,2,0.03571428571428571,276
test,concept:agentactsinlocation,undirected,2,4,0.07142857142857142,276
test,concept:agentactsinlocation,undirected,3,25,0.44642857142857145,276
test,concept:agentactsinlocation,undirected,4,6,0.10714285714285714,276
test,concept:agentactsinlocation,undirected,>4_or_unreachable,19,0.3392857142857143,276
test,concept:agentbelongstoorganization,undirected,1,3,0.23076923076923078,87
test,concept:agentbelongstoorganization,undirected,3,6,0.46153846153846156,87
test,concept:agentbelongstoorganization,undirected,4,1,0.07692307692307693,87
test,concept:agentbelongstoorganization,undirected,>4_or_unreachable,3,0.23076923076923078,87
test,concept:agentcollaborateswithagent,undirected,1,23,0.41818181818181815,304
test,concept:agentcollaborateswithagent,undirected,2,2,0.03636363636363636,304
test,concept:agentcollaborateswithagent,undirected,3,13,0.23636363636363636,304
test,concept:agentcollaborateswithagent,undirected,4,7,0.12727272727272726,304
test,concept:agentcollaborateswithagent,undirected,>4_or_unreachable,10,0.18181818181818182,304
test,concept:agentcompeteswithagent,undirected,1,11,0.2037037037037037,198
