split,adapter_control,position,target_count,correct,accuracy_given_target_position,predicted_count
validation,correct,0,4,2,0.5,11
validation,correct,1,3,2,0.6666666666666666,4
validation,correct,2,3,1,0.3333333333333333,3
validation,correct,3,6,2,0.3333333333333333,4
validation,correct,4,1,0,0.0,0
validation,correct,5,1,1,1.0,3
validation,correct,6,1,1,1.0,2
validation,correct,7,4,1,0.25,1
validation,correct,8,5,2,0.4,2
validation,correct,9,4,0,0.0,2
validation,none,0,4,3,0.75,8
validation,none,1,3,3,1.0,5
validation,none,2,3,1,0.3333333333333333,3
validation,none,3,6,3,0.5,6
validation,none,4,1,0,0.0,0
validation,none,5,1,1,1.0,2
validation,none,6,1,1,1.0,1
validation,none,7,4,1,0.25,1
validation,none,8,5,4,0.8,4
validation,none,9,4,0,0.0,2
validation,wrong_depth,0,4,2,0.5,9
validation,wrong_depth,1,3,2,0.6666666666666666,5
validation,wrong_depth,2,3,1,0.3333333333333333,2
validation,wrong_depth,3,6,3,0.5,5
validation,wrong_depth,4,1,0,0.0,0
validation,wrong_depth,5,1,1,1.0,2
validation,wrong_depth,6,1,1,1.0,2
validation,wrong_depth,7,4,1,0.25,1
validation,wrong_depth,8,5,4,0.8,4
validation,wrong_depth,9,4,0,0.0,2
test,correct,0,5,5,1.0,18
test,correct,1,9,3,0.3333333333333333,5
test,correct,2,5,1,0.2,4
test,correct,3,7,2,0.2857142857142857,5
test,correct,4,3,1,0.3333333333333333,6
test,correct,5,7,3,0.42857142857142855,8
test,correct,6,5,1,0.2,5
test,correct,7,10,3,0.3,5
test,correct,8,7,2,0.2857142857142857,5
test,correct,9,6,1,0.16666666666666666,3
test,none,0,5,4,0.8,11
test,none,1,9,3,0.3333333333333333,8
test,none,2,5,1,0.2,6
test,none,3,7,3,0.42857142857142855,5
test,none,4,3,1,0.3333333333333333,7
test,none,5,7,4,0.5714285714285714,7
test,none,6,5,2,0.4,7
test,none,7,10,3,0.3,6
test,none,8,7,3,0.42857142857142855,7
test,none,9,6,0,0.0,0
test,wrong_depth,0,5,5,1.0,15
test,wrong_depth,1,9,3,0.3333333333333333,9
test,wrong_depth,2,5,1,0.2,7
test,wrong_depth,3,7,2,0.2857142857142857,3
test,wrong_depth,4,3,0,0.0,4
test,wrong_depth,5,7,4,0.5714285714285714,8
test,wrong_depth,6,5,2,0.4,6
test,wrong_depth,7,10,3,0.3,5
test,wrong_depth,8,7,3,0.42857142857142855,6
test,wrong_depth,9,6,0,0.0,1
