split,adapter_control,decoder_type,n,correct,accuracy,out_of_candidate_count_raw_membership,mean_latency_seconds,median_latency_seconds,max_peak_memory_bytes
test,correct,constrained,64,22,0.34375,0,0.6067686599817534,0.5934004335431382,1011437568
test,correct,free,64,11,0.171875,40,0.4315070245938841,0.40586745005566627,1011364864
test,correct,score,64,22,0.34375,0,0.07812364048731979,0.07578955602366477,4551132160
test,none,constrained,64,24,0.375,0,0.6115092306172301,0.5947929869871587,1011437568
test,none,free,64,16,0.25,38,0.6642936637581442,0.5454637624789029,1011472896
test,none,score,64,24,0.375,0,0.08038177429989446,0.07874797249678522,4551132160
test,wrong_depth,constrained,64,24,0.375,0,0.6154054946782708,0.5921729659894481,1011437568
test,wrong_depth,free,64,4,0.0625,57,0.9278192731071613,0.9832491636043414,1011693056
test,wrong_depth,score,64,23,0.359375,0,0.08302638586974354,0.07655563193839043,4551132160
validation,correct,constrained,32,14,0.4375,0,0.5850678840579349,0.5761978679802269,1011072000
validation,correct,free,32,4,0.125,24,0.4957465902698459,0.4216441345633939,1011180032
validation,correct,score,32,12,0.375,0,0.11568135159905069,0.07860855106264353,4490108928
validation,none,constrained,32,17,0.53125,0,0.5903170387027785,0.5880383475450799,1011072000
validation,none,free,32,8,0.25,19,0.6686003302093013,0.5337790799094364,1011472896
validation,none,score,32,17,0.53125,0,0.07776554987503914,0.07707695662975311,4490108928
validation,wrong_depth,constrained,32,16,0.5,0,0.5916607543185819,0.5825172320473939,1011072000
validation,wrong_depth,free,32,2,0.0625,29,0.9634638931893278,1.0221252124756575,1011472896
validation,wrong_depth,score,32,15,0.46875,0,0.08107578368799295,0.08060525800101459,4490108928
