split,comparison,left,right,n,left_accuracy,right_accuracy,delta_right_minus_left,left_only_correct,right_only_correct,discordant,p_value_exact_two_sided,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_samples,bootstrap_seed
validation,score_minus_free,correct.free,correct.score,32,0.125,0.375,0.25,1,9,10,0.021484375,0.09375,0.4375,20000,20260830
validation,constrained_minus_free,correct.free,correct.constrained,32,0.125,0.4375,0.3125,1,11,12,0.00634765625,0.125,0.5,20000,20260831
validation,score_minus_constrained,correct.constrained,correct.score,32,0.4375,0.375,-0.0625,2,0,2,0.5,-0.15625,0.0,20000,20260832
validation,score_minus_free,none.free,none.score,32,0.25,0.53125,0.28125,0,9,9,0.00390625,0.125,0.4375,20000,20260833
validation,constrained_minus_free,none.free,none.constrained,32,0.25,0.53125,0.28125,1,10,11,0.01171875,0.09375,0.46875,20000,20260834
validation,score_minus_constrained,none.constrained,none.score,32,0.53125,0.53125,0.0,2,2,4,1.0,-0.125,0.125,20000,20260835
validation,score_minus_free,wrong_depth.free,wrong_depth.score,32,0.0625,0.46875,0.40625,0,13,13,0.000244140625,0.25,0.5625,20000,20260836
validation,constrained_minus_free,wrong_depth.free,wrong_depth.constrained,32,0.0625,0.5,0.4375,0,14,14,0.0001220703125,0.28125,0.625,20000,20260837
validation,score_minus_constrained,wrong_depth.constrained,wrong_depth.score,32,0.5,0.46875,-0.03125,2,1,3,1.0,-0.125,0.0625,20000,20260838
validation,correct_minus_none,none.free,correct.free,32,0.25,0.125,-0.125,6,2,8,0.2890625,-0.28125,0.03125,20000,20260839
validation,correct_minus_wrong_depth,wrong_depth.free,correct.free,32,0.0625,0.125,0.0625,1,3,4,0.625,-0.0625,0.1875,20000,20260840
validation,correct_minus_none,none.constrained,correct.constrained,32,0.53125,0.4375,-0.09375,3,0,3,0.25,-0.21875,0.0,20000,20260841
validation,correct_minus_wrong_depth,wrong_depth.constrained,correct.constrained,32,0.5,0.4375,-0.0625,2,0,2,0.5,-0.15625,0.0,20000,20260842
validation,correct_minus_none,none.score,correct.score,32,0.53125,0.375,-0.15625,5,0,5,0.0625,-0.28125,-0.03125,20000,20260843
validation,correct_minus_wrong_depth,wrong_depth.score,correct.score,32,0.46875,0.375,-0.09375,3,0,3,0.25,-0.1875,0.0,20000,20260844
test,score_minus_free,correct.free,correct.score,64,0.171875,0.34375,0.171875,1,12,13,0.00341796875,0.078125,0.28125,20000,20260845
test,constrained_minus_free,correct.free,correct.constrained,64,0.171875,0.34375,0.171875,1,12,13,0.00341796875,0.078125,0.28125,20000,20260846
test,score_minus_constrained,correct.constrained,correct.score,64,0.34375,0.34375,0.0,2,2,4,1.0,-0.0625,0.0625,20000,20260847
test,score_minus_free,none.free,none.score,64,0.25,0.375,0.125,3,11,14,0.057373046875,0.015625,0.234375,20000,20260848
test,constrained_minus_free,none.free,none.constrained,64,0.25,0.375,0.125,4,12,16,0.076812744140625,0.0,0.25,20000,20260849
test,score_minus_constrained,none.constrained,none.score,64,0.375,0.375,0.0,1,1,2,1.0,-0.046875,0.046875,20000,20260850
test,score_minus_free,wrong_depth.free,wrong_depth.score,64,0.0625,0.359375,0.296875,0,19,19,3.814697265625e-06,0.1875,0.40625,20000,20260851
test,constrained_minus_free,wrong_depth.free,wrong_depth.constrained,64,0.0625,0.375,0.3125,0,20,20,1.9073486328125e-06,0.203125,0.421875,20000,20260852
test,score_minus_constrained,wrong_depth.constrained,wrong_depth.score,64,0.375,0.359375,-0.015625,2,1,3,1.0,-0.0625,0.03125,20000,20260853
test,correct_minus_none,none.free,correct.free,64,0.25,0.171875,-0.078125,10,5,15,0.3017578125,-0.1875,0.03125,20000,20260854
test,correct_minus_wrong_depth,wrong_depth.free,correct.free,64,0.0625,0.171875,0.109375,2,9,11,0.0654296875,0.015625,0.203125,20000,20260855
test,correct_minus_none,none.constrained,correct.constrained,64,0.375,0.34375,-0.03125,3,1,4,0.625,-0.09375,0.03125,20000,20260856
test,correct_minus_wrong_depth,wrong_depth.constrained,correct.constrained,64,0.375,0.34375,-0.03125,3,1,4,0.625,-0.09375,0.03125,20000,20260857
test,correct_minus_none,none.score,correct.score,64,0.375,0.34375,-0.03125,4,2,6,0.6875,-0.109375,0.046875,20000,20260858
test,correct_minus_wrong_depth,wrong_depth.score,correct.score,64,0.359375,0.34375,-0.015625,3,2,5,1.0,-0.078125,0.046875,20000,20260859
