comparison,left,right,n,left_correct,right_correct,left_accuracy,right_accuracy,delta_accuracy,delta_pp,bootstrap_95ci_low_pp,bootstrap_95ci_high_pp,both_correct,left_only_correct,right_only_correct,both_wrong,mcnemar_exact_p
adapter_effect|split=validation|train_k=1|eval_k=1,correct_adapter,no_adapter,32,4,8,0.125,0.25,-0.125,-12.5,-28.125,3.125,2,2,6,22,0.2890625
adapter_effect|split=validation|train_k=1|eval_k=2,correct_adapter,no_adapter,32,0,1,0.0,0.03125,-0.03125,-3.125,-9.375,0.0,0,0,1,31,1.0
adapter_effect|split=validation|train_k=2|eval_k=1,correct_adapter,no_adapter,32,2,8,0.0625,0.25,-0.1875,-18.75,-34.375,-6.25,2,0,6,24,0.03125
adapter_effect|split=validation|train_k=2|eval_k=2,correct_adapter,no_adapter,32,2,1,0.0625,0.03125,0.03125,3.125,-6.25,12.578124999993179,0,2,1,29,1.0
adapter_effect|split=test|train_k=1|eval_k=1,correct_adapter,no_adapter,64,11,16,0.171875,0.25,-0.078125,-7.8125,-20.3125,3.125,6,5,10,43,0.3017578125
adapter_effect|split=test|train_k=1|eval_k=2,correct_adapter,no_adapter,64,2,0,0.03125,0.0,0.03125,3.125,0.0,7.8125,0,2,0,62,0.5
adapter_effect|split=test|train_k=2|eval_k=1,correct_adapter,no_adapter,64,4,16,0.0625,0.25,-0.1875,-18.75,-28.125,-9.375,4,0,12,48,0.00048828125
adapter_effect|split=test|train_k=2|eval_k=2,correct_adapter,no_adapter,64,3,0,0.046875,0.0,0.046875,4.6875,0.0,10.9375,0,3,0,61,0.25
eval_depth_effect|split=validation|train_k=1|adapter=correct,eval_k2,eval_k1,32,0,4,0.0,0.125,-0.125,-12.5,-25.0,-3.125,0,0,4,28,0.125
eval_depth_effect|split=validation|train_k=1|adapter=none,eval_k2,eval_k1,32,1,8,0.03125,0.25,-0.21875,-21.875,-37.5,-6.25,0,1,8,23,0.0390625
eval_depth_effect|split=validation|train_k=2|adapter=correct,eval_k2,eval_k1,32,2,2,0.0625,0.0625,0.0,0.0,-9.375,9.375,1,1,1,29,1.0
eval_depth_effect|split=validation|train_k=2|adapter=none,eval_k2,eval_k1,32,1,8,0.03125,0.25,-0.21875,-21.875,-37.5,-6.25,0,1,8,23,0.0390625
eval_depth_effect|split=test|train_k=1|adapter=correct,eval_k2,eval_k1,64,2,11,0.03125,0.171875,-0.140625,-14.0625,-23.4375,-4.6875,1,1,10,52,0.01171875
eval_depth_effect|split=test|train_k=1|adapter=none,eval_k2,eval_k1,64,0,16,0.0,0.25,-0.25,-25.0,-35.9375,-15.625,0,0,16,48,3.0517578125e-05
eval_depth_effect|split=test|train_k=2|adapter=correct,eval_k2,eval_k1,64,3,4,0.046875,0.0625,-0.015625,-1.5625,-7.8125,4.6875,1,2,3,58,1.0
eval_depth_effect|split=test|train_k=2|adapter=none,eval_k2,eval_k1,64,0,16,0.0,0.25,-0.25,-25.0,-35.9375,-15.625,0,0,16,48,3.0517578125e-05
train_depth_effect|split=validation|eval_k=1|adapter=correct,train_k2,train_k1,32,2,4,0.0625,0.125,-0.0625,-6.25,-18.75,6.25,1,1,3,27,0.625
train_depth_effect|split=validation|eval_k=1|adapter=none,train_k2,train_k1,32,8,8,0.25,0.25,0.0,0.0,0.0,0.0,8,0,0,24,1.0
train_depth_effect|split=validation|eval_k=2|adapter=correct,train_k2,train_k1,32,2,0,0.0625,0.0,0.0625,6.25,0.0,15.625,0,2,0,30,0.5
train_depth_effect|split=validation|eval_k=2|adapter=none,train_k2,train_k1,32,1,1,0.03125,0.03125,0.0,0.0,0.0,0.0,1,0,0,31,1.0
train_depth_effect|split=test|eval_k=1|adapter=correct,train_k2,train_k1,64,4,11,0.0625,0.171875,-0.109375,-10.9375,-20.3125,-1.5625,2,2,9,51,0.0654296875
train_depth_effect|split=test|eval_k=1|adapter=none,train_k2,train_k1,64,16,16,0.25,0.25,0.0,0.0,0.0,0.0,16,0,0,48,1.0
train_depth_effect|split=test|eval_k=2|adapter=correct,train_k2,train_k1,64,3,2,0.046875,0.03125,0.015625,1.5625,0.0,4.6875,2,1,0,61,1.0
train_depth_effect|split=test|eval_k=2|adapter=none,train_k2,train_k1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,64,1.0
