split,train_k,adapter,transition,n,mean_norm_ratio,mean_cosine,mean_relative_delta
validation,1,correct,correct_to_wrong,4,1.1668010910840565,0.9461211085013268,0.39191134843568726
validation,1,correct,wrong_to_wrong,28,1.1594633070283764,0.9465139678873081,0.38664040492133106
validation,1,none,correct_to_wrong,8,1.1667706864670953,0.9420499627002145,0.4038102229614174
validation,1,none,wrong_to_correct,1,1.1710285490192665,0.942315207198865,0.4054033090743298
validation,1,none,wrong_to_wrong,23,1.1642122270021973,0.9419164234644731,0.40277452424118193
validation,2,correct,correct_to_correct,1,1.1791739045945588,0.9433178212092538,0.40716038640673563
validation,2,correct,correct_to_wrong,1,1.1937640302022752,0.9425700013682844,0.41792371629574243
validation,2,correct,wrong_to_correct,1,1.1879275287480702,0.9427897603823009,0.4138115430937535
validation,2,correct,wrong_to_wrong,29,1.1846768871022895,0.942096592756116,0.4139077254763692
validation,2,none,correct_to_wrong,8,1.1667706864670953,0.9420499627002145,0.4038102229614174
validation,2,none,wrong_to_correct,1,1.1710285490192665,0.942315207198865,0.4054033090743298
validation,2,none,wrong_to_wrong,23,1.1642122270021973,0.9419164234644731,0.40277452424118193
test,1,correct,correct_to_correct,1,1.1789547655723187,0.9461533982207979,0.3987357817853498
test,1,correct,correct_to_wrong,10,1.1506861176874055,0.9470535146778373,0.38023043198157863
test,1,correct,wrong_to_correct,1,1.1566300231147935,0.9475348911381003,0.3819664962954984
test,1,correct,wrong_to_wrong,52,1.1550529785908248,0.9467707770939133,0.38350539171581094
test,1,none,correct_to_wrong,16,1.1665256035729141,0.9420110532362391,0.4037882088680415
test,1,none,wrong_to_wrong,48,1.1627412354869973,0.941970170904345,0.401827759214312
test,2,correct,correct_to_correct,1,1.2006388932575718,0.9419944180236157,0.4237257143263766
test,2,correct,correct_to_wrong,3,1.1928273298322527,0.9416249363653603,0.42008133734744507
test,2,correct,wrong_to_correct,2,1.1748718593688814,0.9439550564118554,0.40294593193023076
test,2,correct,wrong_to_wrong,58,1.1774918658624476,0.9427784476617127,0.407811801082005
test,2,none,correct_to_wrong,16,1.1665256035729141,0.9420110532362391,0.4037882088680415
test,2,none,wrong_to_wrong,48,1.1627412354869973,0.941970170904345,0.401827759214312
